ID,GSM429956,GSM429961,GSM429980,GSM429981,
267404_at,12,8.1,6.6,5.9,
267405_at,116.8,128.6,144.7,155.5,
267406_at,26,26.7,24.5,22.4,
267407_at,0.4,4.6,3.4,3.7,
267408_at,0.9,0.8,0.5,0.7,
267409_at,67.6,70.5,6.8,5,
267410_at,13.6,17.1,11.7,10,
267411_at,48.5,44.6,305.8,335.2,
267412_at,21.8,20.7,10,10.8,
267413_at,26.6,22.2,22.4,13.9,
267414_at,8.2,21.5,9.5,9.4,
267415_at,79.6,68.9,56.5,78.5,
267416_at,8.8,6.6,5.6,8.8,
267417_at,1.4,1.2,1.6,0.6,
267418_at,13.9,17.6,7.2,10,
267419_at,113.5,119,139.7,126.9,
267420_at,10.2,14.2,14,18.1,
267421_at,274.8,295.6,336.3,328,
267422_at,382.5,408.8,356.4,323.5,
267423_at,95.7,91.6,50,62.7,
267424_at,1.3,0.1,0.1,1.1,
267425_at,23.6,22.3,47.9,42.2,
267426_at,1.6,0.6,1.6,0.5,
267427_at,11.9,11.9,4.2,0.9,
267428_at,56.9,57.3,50,53.9,
267429_at,3.9,7.5,2.9,4.3,
267430_at,853.2,706.4,638.1,565.7,
267431_at,0.3,0.5,0.7,0.4,
267432_at,143.6,165.9,126.7,94.9,
267433_at,46.7,42.5,29.9,47.1,
267434_at,51.5,47,29.9,33.1,
267400_at,184.1,186.8,164.7,180.4,
267401_at,51.4,42.2,34.2,31.2,
267402_at,69.6,62.9,46.1,61.4,
267403_at,0.5,0.1,3.4,0.4,
267372_at,17.6,12.8,14.3,9,
267373_at,72.2,54.4,76.6,46.3,
267374_at,244.7,231.5,228.5,194.8,
267375_at,126.3,122,124.2,145.9,
267376_at,147.9,155.7,114,118.7,
267377_at,476.3,471.7,325.7,311.7,
267378_at,90.6,88,80.5,82.9,
267379_at,274.1,285.1,250.6,215.3,
267380_at,135.9,141.4,93.9,81.4,
267381_at,78.7,77.9,110.8,109.1,
267382_at,54,47.6,56.9,62.8,
267383_at,74.9,71.6,69.8,68.7,
267384_at,18.8,17.9,57.6,66.2,
267385_at,31.1,28.6,7.1,13.8,
267386_at,12.8,18.1,13.7,9.5,
267387_at,37.6,40.2,41.1,36.8,
267388_at,82,80.8,86.3,79.8,
267389_at,7.9,9.4,11.3,7.5,
267390_at,2.3,1.5,1.3,5,
267391_at,2.7,0.3,7.5,11.4,
267392_at,505.1,500.9,841.9,817,
267393_at,130.4,131.7,90.9,97.5,
267394_s_at,2.6,3,3.4,0.6,
267395_at,0.5,2,0.5,4.4,
267396_at,54.6,51.6,41.7,44.7,
267397_at,16.3,17.2,18,13.8,
267398_at,0.9,1.1,0.6,6.1,
267399_at,0.2,0.2,0.9,0.3,
267365_at,136.4,133.3,159.5,151.2,
267366_at,379.4,378.6,441.1,488.5,
267367_at,246.3,225.7,174.6,205.6,
267368_at,592.3,581.4,744.9,718.5,
267369_at,21.2,14.6,13.1,11.4,
267370_at,100.8,115.1,95.9,92.7,
267371_at,27.8,29.3,27.4,21.3,
267341_at,66.1,65.9,98.6,99.5,
267342_at,114.4,115.9,144.4,133.4,
267343_at,8.9,7.2,8.7,3.8,
267344_at,10.7,12.8,15.9,20.7,
267345_at,1,0.6,1,1.5,
267346_at,126.4,116.7,94.2,110.4,
267347_at,57.7,50.9,54,63.9,
267348_at,326.7,342.3,338.4,286,
267349_at,64.9,74.4,97,103,
267350_at,13.3,17.7,16.3,10.4,
267351_at,48.2,43.2,35.4,32.8,
267352_at,0.8,0.5,0.5,0.6,
267353_at,93.3,85.6,74.9,72.7,
267354_at,37.5,35.1,38.9,19.7,
267355_at,199.4,197.6,126.1,169.1,
267356_at,138.4,125,84.3,88.2,
267357_at,34,33.5,118.2,135.7,
267358_at,85.6,81.5,42.8,36.6,
267359_at,40.9,28.6,22.2,26.4,
267360_at,419.4,420.2,342,457.1,
267361_at,9.1,12.8,9.3,12.3,
267362_at,23.1,26.2,23.8,28.3,
267363_at,212.4,225.7,240.7,235.4,
267364_at,148.2,124.7,92.9,119.7,
267337_at,63.8,54.3,168.6,136.4,
267338_at,360.7,371.4,457.4,487.2,
267339_at,73,71.8,48,55.5,
267340_at,252.3,282.4,310.2,364.9,
267310_at,270.1,275.4,197.5,185.4,
267311_at,14.5,11.1,20.8,25.4,
267312_at,226.1,234.1,205.5,218.6,
267313_at,1,0.5,1,0.5,
267314_at,88.6,95.2,132.4,103.3,
267315_at,72.3,88.8,76.6,73.4,
267316_at,67.7,84.5,51.5,51.1,
267317_at,7.2,7.8,0.9,2.2,
267318_at,320.7,332.3,125,114.6,
267319_at,224.6,210.5,195.7,173.9,
267320_at,0.3,0.3,0.2,0.4,
267321_at,2.6,0.4,2.2,5.7,
267322_at,2.7,1.8,3.4,1.2,
267323_at,75,78.3,67.7,77.3,
267324_at,0.4,2.4,2,0.7,
267325_at,1,1.7,2.3,3.6,
267326_at,13.3,9.9,14.9,15.2,
267327_at,3.3,1.3,0.6,2.3,
267328_at,0.3,0.2,0.5,1,
267329_at,0.4,1.7,0.3,3.2,
267330_at,152.4,150.7,140.9,154.9,
267331_at,16.7,17.1,19.4,21.7,
267332_at,0.5,0.3,2.5,2.8,
267333_at,58.8,62.3,45.2,34.3,
267334_at,0.7,1.7,0.3,1.5,
267335_s_at,37.3,42.3,22.1,29.1,
267336_at,261.2,230.6,229.4,238.4,
267309_at,84.1,81.7,91.7,72.4,
267278_at,78.2,78.7,47.6,52.9,
267279_at,66.6,72.7,31.1,32.6,
267280_at,114.9,121.9,83.5,80.8,
267281_at,7.3,9.9,8.6,5.4,
267282_at,21.4,19.8,24.6,25,
267283_at,0.3,0.4,0.1,0.1,
267284_at,28.5,34.2,28.4,26.8,
267285_at,37.4,41.3,26.6,23.4,
267286_at,4.9,0.6,0.6,1.4,
267287_at,13.8,15.6,4,3.8,
267288_at,32.1,30.7,89.7,113.4,
267289_at,5.6,8.6,10.2,11.3,
267290_at,56.9,49.2,67.2,65.7,
267291_at,38.2,38.2,49.7,40.8,
267292_at,11.9,10.5,18.2,18.1,
267293_at,434.7,441.6,925.8,911.8,
267294_at,358.1,332.1,360.4,303.9,
267295_at,1.4,1.6,5.9,1.3,
267296_at,10.9,12.8,7.3,6.8,
267297_at,99.7,99,107.5,101.6,
267298_at,65.2,68.8,52.5,48.9,
267299_at,99.2,102.9,68.5,61.2,
267300_at,82.6,81.2,429,447.3,
267301_at,469.8,444.6,479.9,383.4,
267302_at,138.5,125.6,119.9,111.9,
267303_at,2.7,2.4,0.2,0.1,
267304_at,40,37.9,30.4,40.7,
267305_at,98.4,103,136.9,111.6,
267306_at,517.8,502.3,739,642.2,
267307_at,11.6,16.2,4.3,10.4,
267308_at,268.6,263.3,297.9,349.5,
267274_at,72.5,87.7,73,56,
267275_at,1,0.9,1.5,0.3,
267276_at,11.8,7.8,12.2,13.2,
267277_at,233.8,207.5,273.3,212.1,
267246_at,107,103,90.6,79.8,
267247_at,192.3,191,150.8,127.4,
267248_at,15.8,20.7,17.9,15.3,
267249_at,6.6,0.5,5.2,5.2,
267250_at,2.7,7.9,1.6,0.4,
267251_at,738.1,737,743.2,751.4,
267252_at,7.5,7.3,7.4,6.1,
267253_at,0.4,0.4,2.3,4.4,
267254_at,2.9,7.5,4.5,6.6,
267255_at,1,2.9,5.9,1.3,
267256_s_at,85.8,92.2,78.9,68.4,
267257_at,51,55.1,68,62.5,
267258_at,54.5,45.2,43.6,51.1,
267259_at,958.7,941.8,897.9,1069.4,
267260_at,115.3,115.3,50,61.1,
267261_at,732.6,674.3,724.7,724.3,
267262_at,536.6,526.3,357.1,391,
267263_at,5.9,4.7,4,5.6,
267264_at,39.7,34.1,22.9,14.4,
267265_at,36.4,39.2,23.6,18.6,
267266_at,88.6,89.4,105.4,99.2,
267267_at,1.3,2.5,1.3,4.6,
267268_at,105.3,90,79,74.4,
267269_at,165.1,157.3,118,133.8,
267270_at,2.2,1.2,3.3,0.7,
267271_at,18.5,18.9,12.8,11.3,
267272_at,2.4,3,2,3.9,
267273_at,1.7,0.8,2.7,5.6,
267239_at,535.1,479.4,431.3,442.4,
267240_at,11.5,9.7,2,0.4,
267241_at,1.7,0.8,0.6,1.7,
267242_at,2.9,2.1,0.2,0.1,
267243_at,0.2,0.1,1.1,1.4,
267244_at,2.1,3.2,5.2,3,
267245_at,0.1,1.3,3.2,4.1,
267215_at,2.1,6.6,0.3,1.2,
267216_at,4.4,2.1,1,6.9,
267217_at,2.6,3.5,1.6,4.5,
267218_at,1.2,0.7,1.5,0.9,
267219_at,37.5,35,29.3,30.8,
267220_at,213,200,175.8,149.4,
267221_at,61.7,55.7,52,46.8,
267222_at,7.1,8.3,5.6,9.3,
267223_at,47.5,56.7,42.8,55.8,
267224_at,15.2,14.8,10.5,15.7,
267225_at,0.5,2.1,2.7,5,
267226_at,12,17.8,10.3,1.8,
267227_at,4.2,8.8,3.8,3.9,
267228_at,0.8,1,0.9,1.6,
267229_s_at,38.5,44.5,76.8,49.5,
267230_at,179.7,178.9,240.6,227.5,
267231_at,26.5,24.7,12.9,14.1,
267232_at,20.9,26.4,18,16.9,
267233_s_at,1250.8,1231.9,991.3,756.7,
267234_x_at,7.2,6.4,5.6,11.2,
267235_at,47.7,62.1,52.9,52.2,
267236_at,1059.7,862.1,929,846.1,
267237_s_at,113.6,111.2,142.3,127.8,
267238_at,34.1,44.9,41.4,45.5,
267211_at,189.7,202.3,192,202.9,
267212_at,923,917.3,1049.5,1212.2,
267213_at,1156.2,1164.4,1358.9,1633.2,
267214_at,379.1,341.5,438.6,359.9,
267183_at,46.8,43.5,54.5,37.5,
267184_at,59.5,50.9,55.5,44,
267185_at,163.8,163.3,162.7,176.5,
267186_at,40.6,43.8,50.3,38,
267187_s_at,535,492.9,495.5,409.8,
267188_at,360.9,367.3,651.2,688,
267189_at,151.9,152.6,146.7,161.1,
267190_at,3.3,4.5,3.2,10.2,
267191_at,25.9,29.8,1.2,0.4,
267192_at,17.8,20.4,16.5,7.2,
267193_at,4.4,3.1,0.9,4.7,
267194_s_at,58.5,46.9,38.3,42,
267195_at,5.2,4.9,4.9,5.7,
267196_at,1520.9,1585,1524.7,1812.5,
267197_at,31.9,25.3,14.4,23.8,
267198_at,2.2,2.1,1,0.6,
267199_at,125.2,123.6,179.8,169.3,
267200_at,23.3,23.9,16.4,20.5,
267201_at,27,22.6,22.5,14.9,
267202_s_at,6,5.7,7,4.8,
267203_at,0.5,0.2,0.2,1.7,
267204_at,7.6,16.1,13.2,11.8,
267205_at,11.6,10.4,8.9,6.7,
267206_at,1.1,2.3,1.5,2.3,
267207_at,7,2.6,1.2,4.4,
267208_at,209.3,227.5,201.2,216.6,
267209_at,326.1,310.1,118.6,134.1,
267210_at,34.2,38.3,30.3,37,
267151_at,513.2,475.2,656.2,676.3,
267152_at,494.5,467.3,359,278.3,
267153_at,2974.6,2830,3687.3,4121,
267154_at,2948.9,2817.5,3916.5,4391.4,
267155_at,0.5,2.3,0.1,0.2,
267156_at,0.8,0.4,0.3,0.5,
267157_at,185.2,172.4,146.4,130.9,
267158_at,164.3,174.4,109.1,84.2,
267159_at,25.6,26.4,22.2,26.9,
267160_at,9.5,6.1,6.8,10.3,
267161_at,48.5,51.6,46.3,33.1,
267162_s_at,87.9,80.5,154.9,144.6,
